time,open,high,low,close,volume
1786028400,219.11,219.3499,217.71,218.2041,7556979
1786030200,218.21,218.42,217.27,217.9101,6103817
1786032000,217.89,219.13,217.44,218.53,5840261
1786033800,218.54,219.44,218.48,219.37,3927216
1786035600,219.38,219.75,218.96,218.96,4120882
1786037400,218.97,219.62,218.57,219.61,3117145
1786039200,219.61,220.91,217.39,220.41,5133039
1786041000,220.415,220.45,219.41,219.495,3845548
1786042800,219.495,220.3635,219.41,219.85,5465408
1786044600,219.86,220.29,217.55,218.99,21749164
1786109400,221.89,223.17,220.66,222.5,12867417
1786111200,222.51,223.45,220.93,223.3499,9101071
1786113000,223.33,223.7699,222.68,223.18,7901631
1786114800,223.17,224.65,223.135,224.2,7948856
1786116600,224.21,224.76,223.5922,223.82,5667487
1786118400,223.82,223.8896,222.25,222.45,6428790
1786120200,222.46,222.65,221.88,221.9,5378304
1786122000,221.9,222.34,221.5504,221.825,4176604
1786123800,221.825,222.36,221.68,222.09,3112585
1786125600,222.1,222.4,221.84,221.945,2751858
1786127400,221.96,222.395,221.765,222.27,3055901
1786129200,222.31,223.14,222.31,223.04,5225685
1786131000,223.04,224.21,222.39,223.96,23083897
1786368600,223.2,224.1379,221.76,222.07,12045063
1786370400,222.08,222.43,220.18,220.4001,8855781
1786372200,220.4,221.14,219.52,219.5968,7594162
1786374000,219.6,219.8695,218.93,219.45,6698128
1786375800,219.43,219.83,218.76,219.6303,6334316
1786377600,219.64,220.6,218.3401,218.3401,7000549
1786379400,218.36,218.67,216.77,217.6199,10498370
1786381200,217.61,219.0,217.23,218.4981,6701400
1786383000,218.4899,219.045,217.83,218.3,4284759
1786384800,218.3,218.87,218.28,218.54,3889839
1786386600,218.545,219.1,218.37,219.02,3143083
1786388400,219.02,219.45,218.76,219.1488,5009695
1786390200,219.15,219.215,217.36,217.55,23145427
1786455000,222.05,222.2,218.83,219.88,13947734
1786456800,219.86,220.3,219.2,219.575,7774168
1786458600,219.59,220.56,218.83,219.805,7061609
1786460400,219.805,219.8368,218.465,219.08,5637507
1786462200,219.09,219.38,218.42,218.53,4424626
1786464000,218.53,218.75,218.25,218.67,3483577
1786465800,218.67,219.2699,217.65,217.717,4579577
1786467600,217.725,217.82,216.72,217.2851,5207188
1786469400,217.285,217.84,216.9301,217.74,3244712
1786471200,217.725,217.77,216.3,216.47,3810715
1786473000,216.48,217.355,216.4,217.1579,3631203
1786474800,217.14,217.97,217.0701,217.855,3936892
1786476600,217.86,218.18,216.55,217.5,24704694
1786541400,220.8,223.83,220.2,223.635,18483446
1786543200,223.635,224.73,222.42,224.4766,11029611
1786545000,224.45,225.1,223.65,223.745,10483938
1786546800,223.745,224.51,223.35,223.8399,5425504
1786548600,223.85,223.94,222.8901,223.02,4970267
1786550400,223.025,223.85,222.99,223.22,4471346
1786552200,223.2208,223.976,222.6701,223.8,4453444
1786554000,223.8,224.29,223.67,224.1001,3764310
1786555800,224.0905,224.22,223.5101,223.655,3648903
1786557600,223.64,224.2,223.17,224.12,3571466
1786559400,224.12,224.45,223.5,223.6828,3466595
1786561200,223.68,223.88,222.81,223.0,4057102
1786563000,222.99,224.3499,222.23,224.09,22017893
1786627800,225.055,227.23,224.135,225.77,20134932
1786629600,225.78,226.42,225.0101,226.03,7250651
1786631400,226.035,226.48,224.64,224.99,6701481
1786633200,224.98,225.17,224.3,224.45,5832218
1786635000,224.4482,224.82,223.71,224.27,4773302
1786636800,224.24,225.46,224.205,225.29,4082191
1786638600,225.3,225.595,224.96,225.33,2975357
1786640400,225.34,225.9099,225.323,225.345,3257046
1786642200,225.345,225.74,225.0906,225.305,3084420
1786644000,225.3,225.65,225.04,225.625,2634584
1786645800,225.6285,225.98,225.42,225.735,3535299
1786647600,225.7385,226.24,225.47,225.78,4829575
1786649400,225.76,226.2,224.85,225.3,22006934
1786714200,226.8,227.49,225.01,225.75,11346614
1786716000,225.655,226.59,224.5,225.115,6478946
1786717800,225.115,226.94,225.0,226.1,6533540
1786719600,226.1,226.5,224.93,225.548,4426764
1786721400,225.54,225.57,224.62,225.24,3876652
1786723200,225.27,225.8,225.139,225.65,2864443
1786725000,225.64,225.71,224.95,225.0678,3056822
1786726800,225.06,225.3799,225.06,225.12,2816598
