time,open,high,low,close,volume
1789611600,2898.6,2898.9,2898.2,2898.7,49
1789611900,2898.9,2900.3,2898.9,2900.3,106
1789612200,2900.4,2901.8,2900.4,2900.6,151
1789612500,2900.6,2902.2,2900.6,2901.6,85
1789612800,2901.7,2902.5,2901.4,2901.9,44
1789613100,2901.8,2901.8,2900.5,2900.5,54
1789613400,2900.7,2900.8,2899.3,2899.3,36
1789613700,2899.3,2899.8,2899.2,2899.4,57
1789614000,2899.4,2899.4,2898.9,2899.0,34
1789614300,2899.5,2899.8,2898.1,2898.1,92
1789614600,2898.4,2898.6,2897.8,2898.5,81
1789614900,2898.8,2898.8,2898.1,2898.2,33
1789615200,2898.1,2899.0,2897.2,2899.0,116
1789615500,2899.1,2899.2,2898.9,2899.2,17
1789615800,2899.4,2899.4,2898.6,2899.2,33
1789616100,2899.2,2900.3,2899.1,2899.9,16
1789616400,2900.2,2900.8,2900.2,2900.7,17
1789616700,2900.8,2900.8,2900.3,2900.7,29
1789617000,2900.1,2900.4,2900.0,2900.4,18
1789617300,2900.4,2901.0,2900.4,2900.6,24
1789617600,2900.6,2900.7,2900.1,2900.4,32
1789617900,2900.3,2900.3,2899.5,2899.7,26
1789618200,2899.8,2899.8,2898.9,2899.2,29
1789618500,2899.2,2899.2,2898.8,2899.0,18
1789618800,2898.8,2899.1,2898.7,2898.7,13
1789619100,2898.7,2898.9,2898.4,2898.8,32
1789619400,2898.8,2898.8,2898.1,2898.3,34
1789619700,2898.6,2899.6,2898.4,2899.4,72
1789620000,2899.6,2900.0,2899.5,2899.5,29
1789620300,2899.6,2900.0,2899.5,2899.5,48
1789620600,2899.0,2899.0,2898.9,2898.9,18
1789620900,2898.7,2899.1,2898.7,2899.1,7
1789621200,2899.0,2899.1,2898.7,2899.0,19
1789621500,2898.6,2898.6,2898.3,2898.3,9
1789621800,2898.3,2898.3,2897.7,2897.8,29
1789622100,2897.5,2897.7,2896.9,2896.9,43
1789622400,2897.0,2897.1,2896.4,2896.9,79
1789622700,2897.2,2897.9,2897.2,2897.4,20
1789623000,2897.2,2897.7,2896.3,2897.7,40
1789623300,2897.7,2897.7,2896.6,2897.3,50
1789623600,2897.4,2897.6,2896.2,2896.6,104
1789623900,2896.8,2896.8,2896.1,2896.5,22
1789624200,2896.8,2896.8,2895.8,2896.5,60
1789624500,2896.3,2896.5,2896.0,2896.3,20
1789624800,2896.3,2898.9,2896.2,2898.5,103
1789625100,2898.1,2899.4,2898.1,2898.6,49
1789625400,2898.5,2898.5,2897.8,2898.5,47
1789625700,2897.6,2898.4,2897.2,2898.1,58
1789626000,2898.3,2899.9,2897.9,2899.9,66
1789626300,2900.0,2902.4,2899.7,2902.1,260
1789626600,2902.2,2904.2,2902.1,2903.1,265
1789626900,2903.0,2904.0,2902.3,2902.3,79
1789627200,2902.3,2904.6,2902.3,2904.1,156
1789627500,2904.0,2904.9,2903.9,2904.4,188
1789627800,2904.0,2904.9,2904.0,2904.5,37
1789628100,2904.3,2904.3,2903.2,2903.9,137
1789628400,2903.7,2904.7,2902.9,2904.1,138
1789628700,2904.0,2907.2,2904.0,2907.1,275
1789629000,2906.4,2907.1,2904.3,2904.6,133
1789629300,2904.5,2905.1,2903.8,2903.8,68
1789629600,2903.8,2905.3,2903.1,2905.1,93
1789629900,2904.8,2906.0,2904.8,2905.8,105
1789630200,2906.0,2906.3,2905.1,2905.8,188
1789630500,2905.5,2905.9,2905.1,2905.9,52
1789630800,2905.6,2906.1,2905.0,2905.8,28
1789631100,2904.8,2905.3,2904.3,2904.3,41
1789631400,2904.1,2904.1,2902.7,2902.7,54
1789631700,2902.5,2902.8,2901.5,2902.6,86
1789632000,2902.7,2903.6,2901.6,2902.8,103
1789632300,2902.3,2902.5,2901.3,2901.7,99
1789632600,2901.6,2901.6,2899.2,2900.1,148
1789632900,2900.0,2900.6,2898.7,2899.6,62
1789633200,2899.5,2900.5,2899.5,2900.5,45
1789633500,2900.4,2903.0,2900.4,2903.0,107
1789633800,2902.9,2904.1,2902.2,2904.1,86
1789634100,2904.0,2904.1,2902.5,2903.4,124
1789634400,2903.6,2903.6,2902.4,2902.9,45
1789634700,2902.9,2904.1,2902.9,2904.0,75
1789635000,2903.7,2905.7,2903.7,2905.4,53
1789635300,2905.5,2905.6,2904.0,2904.1,66
1789635600,2904.5,2905.3,2903.8,2904.2,86
1789635900,2904.2,2905.8,2904.0,2904.7,35
1789636200,2905.2,2906.5,2905.2,2905.4,99
1789636500,2905.8,2905.9,2905.0,2905.2,29
1789636800,2905.0,2905.4,2904.8,2904.9,53
1789637100,2904.8,2905.1,2904.3,2904.5,252
1789637400,2904.4,2905.5,2904.3,2905.2,30
1789637700,2905.4,2905.9,2905.3,2905.9,67
1789638000,2905.5,2906.0,2905.5,2905.7,79
1789638300,2905.7,2905.7,2903.1,2903.2,232
1789638600,2903.4,2904.5,2903.4,2904.2,252
1789638900,2904.0,2904.1,2903.1,2903.7,178
1789639200,2903.7,2904.8,2903.7,2904.7,57
1789639500,2904.7,2906.0,2904.6,2905.6,99
