time,open,high,low,close,volume
1789611600,63.745,63.83,63.705,63.815,310
1789612200,63.82,63.845,63.63,63.7,585
1789612800,63.705,63.935,63.65,63.82,263
1789613400,63.815,63.815,63.565,63.61,266
1789614000,63.635,63.935,63.62,63.885,372
1789614600,63.885,63.895,63.805,63.835,155
1789615200,63.85,63.91,63.815,63.86,135
1789615800,63.87,64.095,63.86,64.05,332
1789616400,64.08,64.185,64.065,64.16,211
1789617000,64.155,64.205,64.135,64.17,88
1789617600,64.165,64.175,64.11,64.155,119
1789618200,64.155,64.155,64.1,64.14,105
1789618800,64.11,64.17,64.07,64.075,149
1789619400,64.065,64.175,64.03,64.145,152
1789620000,64.145,64.245,64.115,64.245,128
1789620600,64.21,64.21,64.13,64.18,59
1789621200,64.185,64.21,64.14,64.16,87
1789621800,64.16,64.17,64.035,64.04,118
1789622400,64.045,64.045,63.915,63.92,232
1789623000,63.92,64.185,63.885,64.18,628
1789623600,64.18,64.235,64.1,64.165,255
1789624200,64.18,64.27,64.155,64.205,207
1789624800,64.21,64.31,64.145,64.25,240
1789625400,64.245,64.33,64.16,64.22,215
1789626000,64.24,64.305,64.205,64.3,103
1789626600,64.29,64.36,64.165,64.19,316
1789627200,64.18,64.345,64.17,64.31,133
1789627800,64.29,64.295,64.225,64.26,119
1789628400,64.265,64.39,64.235,64.38,191
1789629000,64.39,64.57,64.38,64.48,423
1789629600,64.475,64.78,64.415,64.77,448
1789630200,64.765,64.885,64.76,64.885,411
1789630800,64.88,64.915,64.79,64.88,276
1789631400,64.86,64.86,64.625,64.795,448
1789632000,64.8,64.805,64.71,64.73,158
1789632600,64.72,64.725,64.515,64.52,212
1789633200,64.525,64.555,64.51,64.525,161
1789633800,64.53,64.53,64.395,64.45,270
1789634400,64.425,64.425,64.26,64.29,223
1789635000,64.29,64.37,64.275,64.325,192
1789635600,64.335,64.445,64.33,64.435,115
1789636200,64.435,64.515,64.435,64.435,163
1789636800,64.415,64.455,64.36,64.375,115
1789637400,64.37,64.455,64.36,64.435,140
1789638000,64.42,64.445,64.385,64.41,59
1789638600,64.455,64.475,64.36,64.385,109
1789639200,64.385,64.43,64.315,64.35,170
1789639800,64.365,64.455,64.345,64.345,116
1789640400,64.355,64.445,64.355,64.385,124
1789641000,64.395,64.46,64.33,64.43,179
1789641600,64.425,64.485,64.395,64.47,125
1789642200,64.48,64.62,64.48,64.575,281
1789642800,64.58,64.79,64.545,64.77,527
1789643400,64.775,64.8,64.625,64.655,405
1789644000,64.65,64.81,64.65,64.695,237
1789644600,64.68,64.69,64.585,64.59,144
1789645200,64.6,64.7,64.555,64.7,184
1789645800,64.695,65.26,64.675,65.26,1338
1789646400,65.24,65.52,65.065,65.485,1655
1789647000,65.48,65.905,65.42,65.9,1300
1789647600,65.895,66.105,65.77,66.09,1044
1789648200,66.075,66.075,65.755,65.895,1001
1789648800,65.89,65.915,65.66,65.825,616
1789649400,65.83,66.05,65.83,66.005,753
1789650000,65.995,66.105,65.795,65.925,2312
1789650600,65.93,66.25,65.855,66.125,1390
1789651200,66.125,66.185,65.845,65.865,759
1789651800,65.875,66.165,65.81,65.845,1221
1789652400,65.86,66.27,65.755,66.21,1190
1789653000,66.2,66.26,66.135,66.23,713
1789653600,66.24,66.66,66.13,66.57,1762
1789654200,66.57,66.62,66.425,66.495,876
1789654800,66.51,66.56,66.355,66.38,649
1789655400,66.395,66.515,66.3,66.3,566
1789656000,66.29,66.37,66.225,66.28,485
1789656600,66.275,66.3,66.01,66.06,606
1789657200,66.06,66.22,66.045,66.155,391
1789657800,66.15,66.37,66.095,66.33,644
1789658400,66.33,66.385,66.235,66.31,450
1789659000,66.305,66.36,66.225,66.335,263
1789659600,66.345,66.425,66.285,66.315,394
1789660200,66.31,66.415,66.295,66.405,242
1789660800,66.4,66.46,66.34,66.375,297
1789661400,66.385,66.41,66.255,66.31,225
1789662000,66.305,66.335,66.23,66.295,239
1789662600,66.29,66.29,66.105,66.16,395
1789663200,66.17,66.235,66.135,66.135,154
1789663800,66.12,66.205,66.025,66.205,778
1789664400,66.215,66.39,66.185,66.335,424
1789665000,66.335,66.36,66.14,66.17,369
1789665600,66.175,66.195,66.07,66.11,403
1789666200,66.115,66.15,66.045,66.08,167
1789666800,66.095,66.14,66.085,66.1,71
1789667400,66.11,66.125,66.075,66.095,133
1789668000,66.1,66.145,66.055,66.095,154
1789668600,66.08,66.22,66.075,66.125,212
1789669200,66.12,66.12,65.94,65.975,346
1789669800,65.98,65.985,65.82,65.855,333
1789670400,65.85,65.945,65.85,65.915,181
1789671000,65.9,65.9,65.83,65.85,137
1789671600,65.865,65.96,65.855,65.915,187
1789672200,65.925,65.93,65.76,65.825,244
1789672800,65.815,65.825,65.735,65.74,249
1789673400,65.75,65.81,65.735,65.765,72
1789674000,65.79,65.86,65.775,65.82,158
1789674600,65.835,65.91,65.79,65.815,359
