time,open,high,low,close,volume
1789611600,7663.25,7665.25,7662.25,7664.0,1571
1789612200,7664.0,7668.75,7663.75,7667.75,2153
1789612800,7667.75,7670.0,7666.75,7667.75,1721
1789613400,7667.5,7668.75,7664.75,7665.25,1652
1789614000,7665.25,7667.5,7664.75,7666.25,1005
1789614600,7666.5,7667.75,7665.0,7666.25,1030
1789615200,7666.25,7668.5,7664.75,7668.25,1005
1789615800,7668.0,7668.75,7666.75,7668.75,600
1789616400,7669.0,7670.0,7666.5,7669.5,1636
1789617000,7669.5,7670.0,7667.5,7668.75,913
1789617600,7669.0,7670.25,7668.25,7668.75,974
1789618200,7668.5,7669.0,7666.75,7666.75,929
1789618800,7667.0,7668.0,7665.5,7667.25,1052
1789619400,7667.25,7669.25,7666.0,7669.25,1068
1789620000,7669.0,7670.5,7668.5,7668.75,1052
1789620600,7668.75,7669.0,7666.5,7667.5,818
1789621200,7667.25,7667.75,7666.0,7666.0,563
1789621800,7666.0,7666.5,7663.5,7663.75,1373
1789622400,7663.75,7665.25,7662.25,7663.5,1043
1789623000,7664.0,7664.0,7660.25,7661.25,1567
1789623600,7661.5,7661.75,7658.75,7659.25,1289
1789624200,7659.25,7660.25,7656.25,7657.25,1529
1789624800,7657.0,7664.75,7656.5,7661.5,2762
1789625400,7661.25,7662.25,7658.5,7661.5,1920
1789626000,7661.5,7671.25,7660.75,7671.0,3062
1789626600,7671.25,7675.25,7670.75,7672.0,3070
1789627200,7672.25,7677.5,7672.0,7676.0,2261
1789627800,7676.0,7677.0,7674.25,7675.25,1120
1789628400,7675.25,7683.25,7673.5,7682.25,3919
1789629000,7682.75,7684.0,7679.25,7680.75,2042
1789629600,7680.75,7687.0,7678.75,7686.5,2951
1789630200,7686.5,7688.5,7685.0,7686.25,3428
1789630800,7686.25,7686.75,7683.0,7683.25,1522
1789631400,7683.0,7683.5,7678.75,7680.0,2375
1789632000,7680.25,7681.5,7678.25,7679.5,2421
1789632600,7679.25,7680.25,7671.25,7673.0,3531
1789633200,7672.5,7678.25,7672.5,7677.75,2595
1789633800,7677.75,7680.5,7676.0,7680.5,2312
1789634400,7680.5,7681.0,7678.0,7680.25,989
1789635000,7680.5,7684.75,7680.25,7683.25,1965
1789635600,7683.0,7687.25,7683.0,7686.25,1673
1789636200,7686.5,7689.25,7684.25,7684.5,2188
1789636800,7684.5,7686.0,7683.25,7683.5,2172
1789637400,7683.5,7687.0,7683.5,7685.25,1756
1789638000,7685.0,7686.5,7681.25,7682.0,1718
1789638600,7682.25,7684.75,7682.0,7682.75,1814
1789639200,7682.75,7687.0,7682.5,7685.75,1696
1789639800,7686.0,7686.75,7683.25,7683.25,1288
1789640400,7683.5,7689.5,7683.5,7687.5,2012
1789641000,7687.75,7689.5,7685.5,7687.25,2974
1789641600,7687.0,7687.5,7684.0,7685.0,1453
1789642200,7685.0,7688.75,7684.75,7687.75,1214
1789642800,7687.75,7690.75,7687.0,7687.0,3919
1789643400,7687.25,7688.75,7684.75,7686.25,2472
1789644000,7686.0,7688.25,7685.0,7686.25,1828
1789644600,7686.0,7687.5,7684.5,7686.5,1563
1789645200,7686.25,7686.25,7682.75,7683.5,1936
1789645800,7683.5,7695.5,7682.25,7695.0,11894
1789646400,7695.25,7701.75,7690.0,7701.5,14295
1789647000,7701.5,7708.25,7700.5,7708.25,7266
1789647600,7708.25,7716.75,7708.0,7716.5,8604
