time,open,high,low,close,volume
1789060800,218.7952,218.82,218.53,218.61,438721
1789061100,218.62,218.7406,218.45,218.69,480028
1789061400,218.685,218.685,218.44,218.49,683086
1789061700,218.49,218.5599,218.165,218.165,503132
1789062000,218.16,218.39,218.12,218.36,449338
1789062300,218.3672,218.4,218.295,218.3599,376196
1789062600,218.37,218.62,218.3576,218.61,429696
1789062900,218.6168,218.6168,218.36,218.3709,354050
1789063200,218.35,218.53,218.18,218.22,449221
1789063500,218.2099,218.4201,218.11,218.19,413406
1789063800,218.18,218.2991,218.02,218.1807,414999
1789064100,218.1705,218.1705,218.0392,218.1699,344491
1789064400,218.17,218.32,218.11,218.17,424407
1789064700,218.175,218.21,218.03,218.035,344033
1789065000,218.0301,218.0398,217.745,217.9039,778231
1789065300,217.9,218.085,217.835,218.065,437401
1789065600,218.07,218.07,217.88,217.9128,475718
1789065900,217.92,218.15,217.825,217.9303,562008
1789066200,217.935,218.45,217.86,218.18,690038
1789066500,218.18,218.3,218.11,218.2308,503824
1789066800,218.23,218.29,217.92,217.93,598434
1789067100,217.9383,218.01,217.715,217.9601,770684
1789067400,217.9924,218.07,217.69,217.97,774526
1789067700,217.97,218.14,217.97,218.14,659969
1789068000,218.12,218.28,218.07,218.225,570410
1789068300,218.225,218.3846,218.2027,218.3,702925
1789068600,218.3099,218.56,218.22,218.525,1011171
1789068900,218.5263,218.5263,218.2001,218.35,820010
1789069200,218.36,218.75,218.35,218.46,1980304
1789069500,218.47,218.81,218.46,218.78,888123
1789069800,218.75,218.94,218.3,218.46,1944332
1789070100,218.44,218.75,218.22,218.36,17881732
1789133400,221.25,221.34,219.1501,219.7999,3510983
1789133700,219.78,220.19,219.0307,219.6,1736178
1789134000,219.6288,220.21,219.3732,220.06,1582428
1789134300,220.07,220.09,219.345,219.81,1434830
1789134600,219.78,221.18,219.715,221.16,1830728
1789134900,221.16,221.71,220.61,221.59,2237035
1789135200,221.63,222.0,221.31,221.51,2332464
1789135500,221.5199,221.7999,220.81,221.38,1509749
1789135800,221.38,221.63,221.07,221.17,1191025
1789136100,221.17,221.41,220.65,221.255,1169318
1789136400,221.27,221.7114,221.09,221.45,1423548
1789136700,221.46,221.93,221.39,221.6,1208903
1789137000,221.59,221.59,220.085,220.155,1610177
1789137300,220.1595,220.2,219.78,220.1,1850689
1789137600,220.1098,220.3,219.67,219.7881,1052709
1789137900,219.78,220.11,219.62,219.9895,1150917
1789138200,219.97,220.01,219.54,219.625,802942
1789138500,219.625,219.7,219.3,219.47,923760
1789138800,219.45,220.17,219.3616,220.08,919469
1789139100,220.08,220.28,220.01,220.14,657952
1789139400,220.143,220.21,219.71,219.7806,565672
1789139700,219.7983,220.575,219.79,220.16,1049583
1789140000,220.1874,220.35,219.9,220.1669,786253
1789140300,220.15,220.32,220.1,220.1801,519395
1789140600,220.18,220.3,219.705,219.83,1000162
1789140900,219.83,219.97,219.6405,219.75,1013372
1789141200,219.75,219.815,219.4201,219.57,840248
1789141500,219.57,219.8,219.5005,219.73,535193
1789141800,219.74,219.8399,219.52,219.5978,517026
1789142100,219.61,219.765,219.5573,219.685,425314
1789142400,219.68,219.9699,219.59,219.93,634904
1789142700,219.94,219.9652,219.73,219.875,415627
1789143000,219.8701,219.88,219.55,219.58,464293
1789143300,219.58,219.59,219.14,219.26,745536
1789143600,219.275,219.4239,219.15,219.2062,444522
1789143900,219.21,219.33,219.09,219.16,509145
1789144200,219.16,219.22,218.92,219.145,898757
1789144500,219.145,219.17,218.735,218.755,649677
1789144800,218.76,219.1599,218.65,219.1199,578088
1789145100,219.115,219.24,218.96,218.9697,467879
1789145400,218.965,219.2,218.9644,219.025,445305
1789145700,219.025,219.145,218.9903,219.105,397148
1789146000,219.11,219.26,219.01,219.0576,915707
1789146300,219.055,219.36,219.04,219.12,523091
1789146600,219.12,219.235,218.9,218.985,455685
1789146900,218.985,219.34,218.94,219.318,456213
1789147200,219.3394,219.43,219.21,219.32,481852
1789147500,219.31,219.43,219.11,219.25,359238
1789147800,219.256,219.35,219.179,219.21,387025
1789148100,219.22,219.41,219.05,219.06,471035
1789148400,219.07,219.32,219.0,219.29,374478
1789148700,219.3,219.4,219.28,219.2801,344820
1789149000,219.29,219.33,219.24,219.255,315071
1789149300,219.2595,219.3,219.08,219.145,287838
1789149600,219.14,219.22,219.03,219.1399,308728
1789149900,219.13,219.205,219.08,219.195,216271
1789150200,219.2,219.25,219.09,219.2,275103
1789150500,219.1874,219.37,219.1405,219.26,375801
1789150800,219.28,219.42,219.095,219.3699,436843
1789151100,219.365,219.5599,219.32,219.51,512492
1789151400,219.505,219.9368,219.49,219.915,781167
1789151700,219.915,220.01,219.5601,219.715,952252
1789152000,219.72,219.87,219.62,219.65,547251
1789152300,219.655,219.6699,219.4105,219.46,414792
1789152600,219.44,219.5,219.24,219.28,422691
1789152900,219.27,219.51,219.26,219.35,497646
1789153200,219.34,219.445,219.21,219.22,401328
1789153500,219.22,219.2599,218.82,218.8501,784445
1789153800,218.865,219.14,218.8107,219.11,781225
1789154100,219.1001,219.23,218.98,218.9902,597241
1789154400,218.995,219.04,218.88,219.04,509670
1789154700,219.03,219.0799,218.36,218.41,900195
1789155000,218.42,218.49,218.23,218.47,1035327
1789155300,218.46,218.55,218.3801,218.4701,752397
1789155600,218.485,218.84,218.41,218.7658,1052423
1789155900,218.76,218.85,218.63,218.76,726779
1789156200,218.75,218.825,218.4,218.72,1535805
1789156500,218.68,218.79,218.15,218.29,13451356
1789392600,211.08,211.5,209.24,209.68,9343677
1789392900,209.67,209.92,208.93,209.27,4222720
1789393200,209.27,209.87,209.07,209.86,2985848
1789393500,209.86,211.56,209.8463,211.31,3761098
1789393800,211.31,211.4399,210.51,210.675,2558244
1789394100,210.67,210.96,210.55,210.79,2781499
1789394400,210.79,211.03,210.45,210.7466,1925176
1789394700,210.77,211.63,210.55,211.22,2182750
1789395000,211.22,211.7,211.22,211.42,1780733
1789395300,211.425,211.53,210.59,210.67,1689609
1789395600,210.69,210.82,210.2171,210.23,1503420
1789395900,210.235,210.49,210.07,210.455,1395911
1789396200,210.45,211.02,210.42,210.9295,1369205
1789396500,210.925,210.925,210.25,210.4299,1278791
1789396800,210.41,210.62,210.33,210.52,1015106
1789397100,210.53,210.86,210.47,210.8298,894356
1789397400,210.82,210.84,210.46,210.63,876701
1789397700,210.625,210.6762,210.3,210.48,965527
1789398000,210.46,210.63,210.28,210.34,840062
1789398300,210.3495,211.26,210.3401,210.86,1395995
1789398600,210.88,211.05,210.71,210.74,681458
1789398900,210.73,211.2395,210.718,211.135,849553
1789399200,211.14,211.35,210.95,211.26,839835
1789399500,211.26,211.6,211.16,211.46,1363579
1789399800,211.45,212.02,211.2,211.89,1597285
1789400100,211.89,212.1,211.81,211.88,1282994
1789400400,211.88,212.2,211.7,212.05,1179352
1789400700,212.0575,212.1298,211.7637,211.772,1042290
1789401000,211.77,211.94,211.68,211.9026,780422
1789401300,211.905,212.33,211.86,212.1884,808399
1789401600,212.18,212.285,212.0284,212.0301,681233
1789401900,212.0329,212.0329,211.76,211.8,675946
1789402200,211.78,211.9299,211.6515,211.6899,793165
1789402500,211.7,212.23,211.7,212.15,827975
1789402800,212.14,212.165,211.92,211.96,640041
1789403100,211.94,211.99,211.68,211.79,574610
1789403400,211.77,211.84,211.615,211.6799,558348
1789403700,211.67,211.85,211.51,211.775,561463
1789404000,211.775,211.86,211.62,211.86,422311
1789404300,211.855,212.39,211.725,212.26,873920
1789404600,212.2688,212.365,211.7,212.035,740214
1789404900,212.03,212.2199,211.9099,212.105,494154
1789405200,212.1099,212.21,212.0589,212.135,456122
1789405500,212.1386,212.24,212.09,212.16,508865
1789405800,212.175,212.38,212.07,212.071,468161
1789406100,212.07,212.1962,211.96,212.045,490819
1789406400,212.045,212.37,212.022,212.345,606275
1789406700,212.35,212.59,212.305,212.58,680920
1789407000,212.59,212.606,212.38,212.42,549378
1789407300,212.42,212.48,212.1667,212.47,538814
1789407600,212.46,212.49,212.2801,212.3784,407020
1789407900,212.37,212.6,212.37,212.575,498568
1789408200,212.575,212.77,212.51,212.53,742389
1789408500,212.53,212.58,212.39,212.4101,524901
1789408800,212.42,212.63,212.23,212.28,633893
1789409100,212.2864,212.55,212.2,212.5318,2133436
1789409400,212.54,212.58,212.35,212.46,538113
1789409700,212.46,212.495,212.23,212.24,621019
1789410000,212.23,212.3,212.09,212.18,445587
1789410300,212.185,212.205,212.035,212.095,447183
1789410600,212.11,212.34,212.07,212.2872,581148
1789410900,212.28,212.44,212.25,212.415,478134
1789411200,212.415,212.45,212.315,212.4,481184
1789411500,212.4,212.49,212.27,212.34,531623
1789411800,212.34,212.42,212.23,212.355,456675
1789412100,212.34,212.58,212.31,212.555,473965
1789412400,212.57,212.6,212.25,212.58,657987
1789412700,212.59,212.62,212.23,212.405,550907
1789413000,212.42,212.445,212.19,212.28,1578109
1789413300,212.27,212.295,212.1215,212.28,553315
1789413600,212.27,212.32,212.1,212.24,2593171
1789413900,212.24,212.36,212.1,212.105,562074
1789414200,212.1,212.2,211.72,211.8,1691855
1789414500,211.7935,211.86,211.68,211.85,845900
1789414800,211.84,212.135,211.82,212.07,868790
1789415100,212.075,212.1546,211.85,212.07,986775
1789415400,212.06,212.4,211.39,211.72,2622420
1789415700,211.71,211.71,210.79,210.96,20035664
1789479000,213.09,213.8795,212.5625,213.3799,4759924
1789479300,213.3809,213.62,212.6711,213.0895,2119540
1789479600,213.085,213.6099,212.92,213.31,1887068
1789479900,213.315,213.94,213.21,213.57,1843381
1789480200,213.55,213.717,213.18,213.2508,1475346
1789480500,213.27,213.44,212.99,213.25,1423750
1789480800,213.26,213.3024,212.48,212.815,2309843
1789481100,212.7905,213.25,212.7905,213.12,1007983
1789481400,213.11,213.17,212.4105,212.64,1331776
1789481700,212.635,212.78,212.49,212.63,838854
1789482000,212.62,212.79,211.96,212.68,1498381
1789482300,212.68,212.9,212.41,212.7401,850802
1789482600,212.74,212.98,212.62,212.7,957151
1789482900,212.7,213.06,212.685,212.81,875337
1789483200,212.8199,212.91,212.5205,212.71,888097
1789483500,212.71,212.95,212.17,212.24,823864
1789483800,212.22,212.3,211.63,212.1314,1295137
1789484100,212.135,212.4,212.0,212.035,964724
1789484400,212.035,212.56,212.02,212.56,842518
1789484700,212.565,212.59,212.145,212.1941,628489
1789485000,212.18,212.35,212.12,212.2299,561628
1789485300,212.225,212.37,212.11,212.22,454550
1789485600,212.21,212.23,211.98,212.11,695128
1789485900,212.1,212.36,212.1,212.26,1389191
1789486200,212.2511,212.255,211.9905,212.17,522582
1789486500,212.17,212.4,212.11,212.21,477839
1789486800,212.21,212.47,212.11,212.28,594565
1789487100,212.28,212.39,212.012,212.1019,575972
1789487400,212.095,212.37,211.93,212.275,712534
1789487700,212.275,212.44,212.16,212.1799,527384
1789488000,212.19,212.35,212.16,212.3,404209
1789488300,212.29,212.32,211.98,212.03,536070
1789488600,212.04,212.09,211.84,211.842,620443
1789488900,211.8499,212.02,211.805,211.8901,541903
1789489200,211.895,212.14,211.86,212.1201,591097
1789489500,212.125,212.17,211.9105,211.97,454845
1789489800,211.96,211.96,211.75,211.84,503342
1789490100,211.834,211.96,211.71,211.85,452445
1789490400,211.856,212.195,211.79,212.08,434525
1789490700,212.075,212.15,211.8711,212.0542,401532
1789491000,212.05,212.16,211.96,212.09,453573
1789491300,212.09,212.14,211.7,211.77,517535
1789491600,211.775,211.8,211.4,211.4624,869166
1789491900,211.455,211.53,211.27,211.45,627344
1789492200,211.45,211.62,211.42,211.425,427840
1789492500,211.425,211.655,211.3542,211.65,456364
1789492800,211.66,211.7403,211.24,211.3,685065
1789493100,211.29,211.3599,211.16,211.33,476535
1789493400,211.3399,211.62,211.33,211.545,433778
1789493700,211.545,211.79,211.5,211.5699,439757
1789494000,211.56,211.6965,211.5,211.5499,550991
1789494300,211.56,211.77,211.4701,211.7105,691163
1789494600,211.71,211.98,211.67,211.84,463907
1789494900,211.8352,211.98,211.775,211.9598,407426
1789495200,211.96,212.1018,211.92,212.05,718953
1789495500,212.055,212.11,211.77,211.89,474778
1789495800,211.89,211.95,211.67,211.7,495401
1789496100,211.71,211.8,211.56,211.715,436190
1789496400,211.71,211.975,211.705,211.955,340161
1789496700,211.935,212.2,211.93,212.1,539674
1789497000,212.1,212.19,211.93,212.03,503562
1789497300,212.025,212.17,211.995,212.16,402013
1789497600,212.155,212.33,211.95,212.0124,587116
1789497900,212.02,212.07,211.91,211.9814,433409
1789498200,211.99,212.12,211.95,212.075,492266
1789498500,212.0733,212.15,212.02,212.1101,368235
1789498800,212.1,212.1,211.91,211.9598,419433
1789499100,211.95,212.02,211.88,212.015,415322
1789499400,212.011,212.19,211.99,212.015,404962
1789499700,212.02,212.11,211.89,212.1,420671
