time,open,high,low,close,volume
1788843600,67.68,67.71,67.16,67.165,1051
1788845400,67.16,67.455,67.09,67.195,1462
1788847200,67.2,67.205,66.6,66.635,2009
1788849000,66.635,66.92,66.58,66.81,1236
1788850800,66.8,67.105,66.79,66.92,636
1788852600,66.93,66.99,66.46,66.56,907
1788854400,66.57,66.57,66.31,66.415,952
1788856200,66.415,66.61,66.375,66.47,456
1788858000,66.48,66.635,66.41,66.51,364
1788859800,66.515,66.785,66.485,66.74,432
1788861600,66.73,66.91,66.535,66.68,755
1788863400,66.685,66.7,66.5,66.51,402
1788865200,66.51,66.75,66.47,66.73,775
1788867000,66.75,66.925,66.68,66.895,774
1788868800,66.9,66.9,66.38,66.725,1763
1788870600,66.73,67.1,66.66,67.1,1765
1788872400,67.085,67.29,66.845,66.88,2598
1788874200,66.88,67.02,66.475,66.81,3094
1788876000,66.825,66.89,66.46,66.6,1733
1788877800,66.6,66.81,66.525,66.8,1590
1788879600,66.805,67.135,66.785,66.96,1839
1788881400,66.955,67.05,66.825,66.825,699
1788883200,66.83,66.94,66.465,66.91,2141
1788885000,66.9,67.05,66.84,66.94,1123
1788886800,66.965,67.215,66.94,67.055,1397
1788888600,67.04,67.05,66.845,66.945,525
1788890400,66.955,67.03,66.925,66.985,514
1788892200,66.99,66.99,66.135,66.68,2433
1788894000,66.685,66.76,66.49,66.56,626
1788895800,66.55,66.57,66.315,66.36,932
1788897600,66.355,66.47,66.275,66.29,425
1788899400,66.295,66.39,66.18,66.38,395
1788904800,66.38,66.43,66.195,66.215,286
1788906600,66.22,66.25,66.13,66.23,266
1788908400,66.2,66.32,66.175,66.3,284
1788910200,66.32,66.38,66.175,66.2,318
1788912000,66.205,66.49,66.2,66.38,700
1788913800,66.38,66.8,66.32,66.735,1210
1788915600,66.74,66.78,66.3,66.72,2265
1788917400,66.735,66.905,66.615,66.7,1001
1788919200,66.705,66.74,66.615,66.645,341
1788921000,66.65,67.325,66.51,67.12,1739
1788922800,67.12,67.135,66.81,66.93,729
1788924600,66.925,66.965,66.85,66.85,312
1788926400,66.85,66.895,66.7,66.88,478
1788928200,66.865,66.97,66.82,66.95,306
1788930000,66.96,67.195,66.91,67.03,1193
1788931800,67.025,67.385,66.97,67.335,1502
1788933600,67.34,67.49,67.205,67.245,1024
1788935400,67.235,67.37,67.215,67.285,478
1788937200,67.29,67.63,67.255,67.625,806
1788939000,67.625,67.635,67.48,67.495,369
1788940800,67.5,67.5,67.225,67.265,569
1788942600,67.27,67.33,67.195,67.255,414
1788944400,67.27,67.33,67.155,67.185,347
1788946200,67.18,67.24,66.82,66.855,889
1788948000,66.87,66.985,66.685,66.92,879
1788949800,66.925,66.99,66.815,66.86,474
1788951600,66.865,67.18,66.865,67.15,717
1788953400,67.15,67.255,66.92,66.935,1246
1788955200,66.93,67.0,66.655,66.72,1222
1788957000,66.68,67.135,66.62,67.03,1574
1788958800,67.035,68.4,66.99,68.37,6259
1788960600,68.36,68.51,67.82,67.98,4792
1788962400,67.985,68.93,67.98,68.925,6059
1788964200,68.925,68.94,68.59,68.645,2712
1788966000,68.66,68.965,67.225,67.76,8118
1788967800,67.765,68.14,67.655,67.92,3135
1788969600,67.93,68.145,67.79,68.105,2154
1788971400,68.105,68.55,68.025,68.515,1972
1788973200,68.515,68.975,68.495,68.58,3439
1788975000,68.58,68.62,68.485,68.55,1043
1788976800,68.56,68.65,68.465,68.56,892
1788978600,68.56,68.56,68.065,68.085,1155
1788980400,68.085,68.22,67.905,68.035,1205
1788982200,68.04,68.05,67.815,67.885,806
1788984000,67.89,67.9,67.75,67.815,549
1788985800,67.815,67.94,67.815,67.935,444
1788991200,67.935,68.025,67.885,67.955,422
1788993000,67.95,67.97,67.865,67.89,284
1788994800,67.9,67.97,67.86,67.875,286
1788996600,67.88,67.9,67.785,67.82,380
1788998400,67.825,67.975,67.795,67.89,540
1789000200,67.875,68.0,67.815,67.925,925
1789002000,67.93,68.3,67.915,68.025,2629
1789003800,68.03,68.075,67.84,67.96,1326
1789005600,67.975,68.15,67.88,68.15,663
1789007400,68.15,68.285,67.98,68.22,1132
1789009200,68.215,68.255,67.97,68.02,731
1789011000,68.015,68.095,67.97,68.005,227
1789012800,68.005,68.16,68.0,68.1,284
1789014600,68.13,68.17,67.985,68.06,258
1789016400,68.08,68.335,68.05,68.315,682
1789018200,68.33,68.53,68.265,68.53,1542
1789020000,68.53,68.585,68.13,68.27,1300
1789021800,68.265,68.325,68.135,68.18,966
